ID,Taxon_ID,objid,bitstreamid,tags,mime_type,creator,date,place,permission,source,Comment
08f9a4009087d2a9de37d9689354e7b9,dendroaspis,EAEA0-942D-A85A-09B7-0,,head;thumbnail2,image/jpeg,H. Vannoy Davis,2001-03-07,Africa,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/12512832,
86773b13ae676721cec401b96b350d79,dendroaspis,EAEA0-3A2F-8941-48AC-0,,general;thumbnail1,image/jpeg,,,,https://creativecommons.org/licenses/by/2.5/,http://commons.wikimedia.org/wiki/File:Eastern_Green_Mamba_02.jpg,
6082d63a6c5d62b786db3dd4d2110494,dendrocygna,EAEA0-67B6-39D2-6876-0,,general;flying;thumbnail3,image/jpeg,"Alan D. Wilson, www.naturespicsonline.com",,,http://creativecommons.org/licenses/by-sa/2.5/,http://media.eol.org/data_objects/27702769,
e37b223693b1683c05b0a8a8f25135c0,dendrocygna,EAEA0-D5E3-11FE-422D-0,,general;thumbnail1,image/jpeg,,,,https://creativecommons.org/licenses/by-sa/2.5/,http://commons.wikimedia.org/wiki/File:Dendrocygna_viduata_upright.jpg,
eb626bc78da85aedfd2e397f08e053f3,dendromusmelanotis,EAEA0-23F2-91CE-CA81-0,,general;thumbnail1,image/jpeg,"Phil Myers, Museum of Zoology, University of Michigan-Ann Arbor",,<p>University of Michigan Museum of Zoology</p>,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/31390600,
7aad4789cdf3a0cae95604e63a8d093b,dermestes,EAEA0-EFEA-B8CA-E475-0,,general;thumbnail1,image/jpeg,André Karwath,2006-07-04,unknown,http://creativecommons.org/licenses/by-sa/2.5/deed.en,http://en.wikipedia.org/wiki/File:Dermestes_lardarius_-_top_%28aka%29.jpg,
8662484c35bd6aabbad37f0137c0b5af,desmodillusauricularis,EAEA0-C643-076A-9EDA-0,,general;thumbnail1,image/jpeg,Serban Proches,unknown,unknown,http://creativecommons.org/licenses/by-sa/2.5/,http://commons.wikimedia.org/wiki/File:Desmodillus_auricularis.jpg,
299d070fb6eebe280293cc3ebca7abee,diamphidia,EAEA0-FD32-36C9-8C03-0,,larva;thumbnail2,image/jpeg,Fritz Geller-Grimm,2007-03-31,Namibia,http://creativecommons.org/licenses/by-sa/2.5/deed.en,http://commons.wikimedia.org/wiki/File:Diamphidia_fg01.jpg,
9b04b0e6f53e709ea9fe280f9c24dd20,diamphidia,EAEA0-0FDE-27E2-8BCA-0,,general;thumbnail1,image/jpeg,Fritz Geller-Grimm,2007-09-06,Namibia,http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Diamphidia_fg04.jpg,
84d61353ffabe3f9c63e259935ca54ea,dicerosbicornis,EAEA0-2ECD-8103-6BC0-0,,general;thumbnail2,image/jpeg,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Black_Rhino_Diceros_bicornis.JPG,
966b355da10d3dd9984e30533cda743b,dicerosbicornis,EAEA0-F805-19E1-5A75-0,,general;thumbnail3,image/jpeg,Christfried Naumann,2008-10-26,"Zoo Leipzig, Germany",http://en.wikipedia.org/wiki/Public_domain,,
eacdd923f18762f1c1823f1f35ebeb02,dicerosbicornis,EAEA0-36A0-D009-63F1-0,,general;pair;female;young;thumbnail1,image/jpeg,,,,https://creativecommons.org/licenses/by-sa/2.5/,http://commons.wikimedia.org/wiki/File:Black_Rhinos_Kenya.jpg,
02a696025bd4770266ccd56f37313c1a,dichapetalumcymosum,EAEA0-768D-0318-F8F5-0,,stem,image/jpeg,M Coates Palgrave,2014-10-19,"Road along Railway line near Mpindo Siding, Zimbabwe",http://creativecommons.org/licenses/by-nc/4.0/,http://www.zimbabweflora.co.zw/speciesdata/image-display.php?species_id=133990&image_id=2,
