ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey,Description
diplorhynchuscondylocarpon,Diplorhynchus condylocarpon,,,5536384,Diplorhynchus condylocarpon (Müll.Arg.) Pichon,Diplorhynchus condylocarpon,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Diplorhynchus,3230998,
diptera,Diptera,,,811,Diptera,Diptera,ORDER,Animalia,1,Arthropoda,54,Insecta,216,Diptera,811,,,,,
dispholidustypus,Dispholidus typus,,,2452959,"Dispholidus typus (Smith, 1828)",Dispholidus typus,SPECIES,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Colubridae,6172,Dispholidus,2452958,
dolichospratensis,Dolichos pratensis,,,2975595,Dolichos pratensis Taub.,Dolichos pratensis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Dolichos,2975549,
dombeyarotundifolia,Dombeya rotundifolia,,,5546739,Dombeya rotundifolia Planch.,Dombeya rotundifolia,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Dombeya,8683601,
dorylushelvolus,Dorylus helvolus,,,1317878,"Dorylus helvolus (Linnaeus, 1764)",Dorylus helvolus,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Formicidae,4342,Dorylus,1317800,
duvaliapolita,Duvalia polita,,,9411286,Ceropegia polita (N.E.Br.) Bruyns,Ceropegia polita,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Ceropegia,7150518,
dytiscus,Dytiscus,,,1038058,"Dytiscus Linnaeus, 1758",Dytiscus,GENUS,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Dytiscidae,7824,Dytiscus,1038058,
egrettagarzetta,Egretta garzetta,,,2480876,"Egretta garzetta (Linnaeus, 1766)",Egretta garzetta,SPECIES,Animalia,1,Chordata,44,Aves,212,Pelecaniformes,7190953,Ardeidae,3685,Egretta,2480872,"carnivore; body-length: 65 cm; white plumage, black bill; yellow toes"
ehretiarigida,Ehretia rigida,,,7295351,Ehretia rigida Druce,Ehretia rigida,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Boraginales,7226464,Ehretiaceae,4923856,Ehretia,9749134,"Shrub, 1-3m tall, small green leaves clustered on reduced shots, the pale mauve, bluish or white tubular flowers are sweetly scented, the berry changes from yellow to black while ripening,"
elanuscaeruleus,Elanus caeruleus,,,2480372,"Elanus caeruleus (Desfontaines, 1789)",Elanus caeruleus,SPECIES,Animalia,1,Chordata,44,Aves,212,Accipitriformes,7191147,Accipitridae,2877,Elanus,2480366,carnivore; body-length: 33 cm; grey above; white below; black shoulders; red eyes
elephantorrhizaburkei,Elephantorrhiza burkei,,,2933003,Elephantorrhiza burkei Benth.,Elephantorrhiza burkei,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Elephantorrhiza,2933002,
elephantorrhizaelephantina,Elephantorrhiza elephantina,,,2933010,Elephantorrhiza elephantina Skeels,Elephantorrhiza elephantina,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Elephantorrhiza,2933002,"small shrub, up to 60cm tall, extended underground tuberous root system, annual stems, creamy-yellow racemes, turning brown with age, woody flat pods, roots edible"
elephantulusintufi,Elephantulus intufi,,,2440842,"Elephantulus intufi (A.Smith, 1836)",Elephantulus intufi,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Macroscelidea,1453,Macroscelididae,9391,Elephantulus,2440838,"carnivore; length: 24cm, tail-length: 12cm; grey-brownish coloured fur; elongated highly mobile snout; thin round ears; white rings around the large eyes; long sparsely haired tail;"
elephantulusmyurus,Elephantulus myurus,,,2440855,"Elephantulus myurus Thomas & Schwann, 1906",Elephantulus myurus,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Macroscelidea,1453,Macroscelididae,9391,Elephantulus,2440838,"carnivore; body-length: 26cm; the dorsal coat is brownish-grey and the underside is white, the hind legs are more developed than the forelegs; the nose is long and trunk-like;"
eleusineindica,Eleusine indica,,,2705953,Eleusine indica (L.) Gaertn.,Eleusine indica,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Eleusine,2705952,
elymandragrallata,Elymandra grallata,,,4113955,Elymandra grallata (Stapf) Clayton,Elymandra grallata,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Elymandra,4113924,
elytrophorusglobularis,Elytrophorus globularis,,,4152811,Elytrophorus globularis Hack.,Elytrophorus globularis,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Elytrophorus,4152786,
emberizaflaviventris,Emberiza flaviventris,,,2491478,"Emberiza flaviventris Stephens, 1815",Emberiza flaviventris,SPECIES,Animalia,1,Chordata,44,Aves,212,Passeriformes,729,Emberizidae,9608,Emberiza,2491468,
englerophytummagalismontanum,Englerophytum magalismontanum,,,2888092,Englerophytum magalismontanum (Sonder) T.D.Penn.,Englerophytum magalismontanum,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ericales,1353,Sapotaceae,8802,Englerophytum,2888063,
