id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,comments,scientific_name,GBIF_ID
1f63f647dde2722390d4605fb981ba59,pythonsebae,drawing,image/png,,WolfgangRieger,,,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/27048014,<b>English:</b> 1=Python sebae. Illustration from <i>Brehms Thierleben</i>.,Python sebae,2465346
4ab5a43994b1b612940bd63a8725ba2e,pythonsebae,skin,image/jpeg,reptile_snake_Boidae_Python_sebae_young_Hombori_08_2006_entire_60598_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Python sebae,2465346
621cf9c239b0143940413c85b2d339fc,pythonsebae,head;thumbnail2,image/jpeg,,Tigerpython,,,,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/27072576,"<b>English:</b> 1=Lateral view of the head of an adult Southern Arican Rock Python (Python natalensis).&nbsp;This animal lives at the PheZulu Safari Park (Snake Park), South Africa.&nbsp;&nbsp;Picture donated by L. Kroone&nbsp;&nbsp;<b>www.phezulusafaripark.co.za</b> &nbsp;&nbsp;<b>German:</b> 1=Seitliche Ansicht des Kopfes eines adulten Südlichen Felsenpythons (Python natalensis).&nbsp;Dieses Tier lebt im PheZulu Safari Park (Snake Park), Südafrika.&nbsp;&nbsp;Foto zur Verfügung gestellt von L. Kroone&nbsp;&nbsp;<b>www.phezulusafaripark.co.za</b>",Python sebae,2465346
63c5f204826b61250362c25cbd7e90ed,pythonsebae,skin;thumbnail4,image/jpeg,reptile_snake_Boidae_Python_sebae_Hombori_08_2006_back_skin_section_60598_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Python sebae,2465346
6c0a373f7a56ae3d23b8aabbde732cc8,pythonsebae,,image/jpeg,reptile_snake_Boidae_Python_sebae_Hombori_08_2006_entire_60598_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Python sebae,2465346
7a82f1fa385a046138485330ebca41af,pythonsebae,dead;underside,image/jpeg,reptile_snake_Boidae_Python_sebae_Hombori_09_2006_entire_60598_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Python sebae,2465346
872c98984d7ebe8327d158bdb625f2c5,pythonsebae,head,image/jpeg,,Simon J. Tonge,2014-01-06,Blantyre (Malawi),,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/27435361,,Python sebae,2465346
b507bc8b246eea84644b597cb2a2c6c8,pythonsebae,general;thumbnail1,image/jpeg,,"Graham J. Alexander, University of the Witwatersrand",,,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/27077867,<b>English:</b> 1=Southern African Python (Python natalensis). This snake was photographed in its native range. &nbsp;<b>German:</b> 1=Südlicher Felsenpython (Python natalensis) fotografiert in freier Wildbahn.,Python sebae,2465346
ceefbe5d7cabffd38c4808abf6ca903b,pythonsebae,dead;head,image/jpeg,reptile_snake_Boidae_Python_sebae_Hombori_08_2006_head_from_side_60598_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Python sebae,2465346
e06ccfac28181eb92732d079b47819a9,pythonsebae,drawing;thumbnail3,image/jpeg,,Sir Andrew Smith,,,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/27080101,"<b>English:</b> 1=PYTHON NATALENSIS (Southern African Python) (Reptilia Plate 9) in A. Smith: Illustrations of the zoology of South Africa, Reptilia. Smith, Elder, and Co., London 1840 &nbsp;<b>German:</b> 1=PYTHON NATALENSIS (Südlicher Felsenpython) (Reptilia Plate 9) in A. Smith: Illustrations of the zoology of South Africa, Reptilia. Smith, Elder, and Co., London 1840",Python sebae,2465346
